DateTime,Top1,Top2,Temp,Hum,L6B,CELL
2016/6/1,81753.6,81254.4,28.9,68.8,3937,3460
2016/6/2,80409.6,80294.4,25.8,86.7,3936,3206
2016/6/3,81408,81216,27.4,79.9,4309,3496
2016/6/4,82444.8,82176,28.2,73.9,4216,4526
2016/6/5,82214.4,81907.2,26.8,73.7,4154,3542
2016/6/6,81676.8,81600,25.1,82.3,3999,3202
2016/6/7,80524.8,80256,26.4,73.2,3813,4436
2016/6/8,80448,80294.4,26.7,74.6,3719,3456
2016/6/9,81331.2,81292.8,26.2,76.3,3968,3861
2016/6/10,83481.6,81177.6,25.6,79.5,3906,4304
2016/6/11,81100.8,80947.2,25.2,78.5,4030,4411
2016/6/12,80832,80832,26.1,74.1,3937,4024
2016/6/13,80716.8,80563.2,26.5,71.4,3875,3058
2016/6/14,79948.8,79948.8,24.2,84.2,3254,2842
2016/6/15,80601.6,80524.8,27.9,72.6,3720,4077
2016/6/16,81216,81139.2,28.2,71.3,4072,4476
2016/6/17,83481.6,81984,27.5,75.6,3487,3882
2016/6/18,81638.4,81254.4,27.5,69.9,4213,4038
2016/6/19,81216,81062.4,28.1,70.8,4340,3931
2016/6/20,81753.6,81523.2,28,68.2,4216,4627
2016/6/21,82521.6,82022.4,28.4,69.7,4257,4299
2016/6/22,81715.2,81676.8,28.6,73.1,4123,3842
2016/6/23,82022.4,81907.2,28.3,73.1,4197,3476
2016/6/24,82060.8,81984,28.2,70.6,4123,4515
2016/6/25,84595.2,81753.6,28.7,72.5,4154,3802
2016/6/26,81830.4,81715.2,28.6,71.5,3906,3453
2016/6/27,81331.2,81292.8,29.2,65,4061,4320
2016/6/28,82521.6,81600,27.8,71.6,4278,3899
2016/6/29,81369.6,81292.8,27.7,72.9,4123,4121
2016/6/30,81216,81177.6,27.8,68.1,3627,4823
2016/7/1,80832,80640,28.3,69.5,4030,3329
2016/7/2,83712,80908.8,27.3,73.5,4216,3719
2016/7/3,81254.4,81216,27.4,69.7,4154,3776
2016/7/4,80524.8,80448,27.7,71.9,3939,3672
2016/7/5,82905.6,80908.8,28.3,68.4,3813,3366
2016/7/6,80601.6,80256,29.3,63.7,3751,3975
2016/7/7,81292.8,81139.2,27.6,74.6,3518,3340
2016/7/8,80985.6,80947.2,26.7,75.6,3782,4197
2016/7/9,84288,81254.4,27.2,74.7,4061,3015
2016/7/10,81292.8,81216,27.1,72.8,3862,3129
2016/7/11,81561.6,81369.6,26.9,73,3999,4677
2016/7/12,81216,81062.4,28.4,65.1,4216,4464
2016/7/13,83097.6,81408,28.5,68.6,4256,4055
2016/7/14,82329.6,82291.2,28.7,67.1,3658,3973
2016/7/15,82636.8,82636.8,28.5,70.3,4347,3920
2016/7/16,82444.8,82329.6,28.9,69.3,4092,4089
2016/7/17,82828.8,82752,28.2,67.8,4207,4391
2016/7/18,81216,81062.4,27.8,64.9,4197,4249
2016/7/19,81676.8,81408,27.2,67.5,4340,4585
2016/7/20,81369.6,81331.2,27.6,72.4,4278,4442
2016/7/21,81523.2,81408,28,73.2,4216,4469
2016/7/22,82214.4,82137.6,28.3,70.6,4120,4526
2016/7/23,82598.4,82368,28.7,69.9,4278,4112
2016/7/24,82598.4,82598.4,28.6,67.8,4495,4400
2016/7/25,83404.8,83136,28.4,71.8,4123,4571
2016/7/26,82828.8,82675.2,28.3,66.3,4188,4476
2016/7/27,82752,82444.8,28.3,70.4,4123,4353
2016/7/28,83366.4,83097.6,29.4,64.5,4123,3890
2016/7/29,83404.8,83020.8,29,67.1,4123,4593
2016/7/30,82752,82521.6,29.2,60,4278,4606
2016/7/31,82329.6,82252.8,29.4,60.9,4030,4345
2016/8/1,81868.8,81561.6,28.3,70.1,4051,3459
2016/8/2,82137.6,82022.4,27.2,73.3,3658,3593
2016/8/3,81446.4,81446.4,28,70.9,3931,4190
2016/8/4,81446.4,81331.2,28.1,71.1,4045,4354
2016/8/5,82060.8,81907.2,28.1,75,4381,4322
2016/8/6,82252.8,82252.8,28.4,68.1,4061,3943
2016/8/7,81868.8,81561.6,28.4,69,3751,3766
2016/8/8,80678.4,80678.4,28.6,70.4,3813,4465
2016/8/9,81446.4,81254.4,28.3,71.3,3906,2840
2016/8/10,81676.8,81600,28.4,71.7,3937,3579
2016/8/11,82060.8,81523.2,26,83.9,4433,4101
2016/8/12,81676.8,81638.4,26.2,83.1,4185,3204
2016/8/13,82214.4,82060.8,25.7,84,4309,4812
2016/8/14,82713.6,82598.4,27.8,75.8,4309,4081
2016/8/15,82867.2,82560,27.7,76.7,4306,3658
2016/8/16,81062.4,81024,26.5,79.2,4154,4027
2016/8/17,81638.4,81484.8,26.4,77.7,3596,3636
2016/8/18,81830.4,81561.6,27.3,73.6,3875,3785
2016/8/19,81408,81254.4,27.5,74,3782,4599
2016/8/20,82252.8,82176,28,74.8,4053,4184
2016/8/21,82060.8,81753.6,28.2,72.9,4154,4088
2016/8/22,81600,81600,28.6,64.4,4030,4166
2016/8/23,83174.4,82982.4,28.7,69.7,4231,4360
2016/8/24,83788.8,83174.4,28.3,64.1,4247,4128
2016/8/25,83750.4,83059.2,28.3,67,4278,4568
2016/8/26,83097.6,83020.8,29.2,64.4,3942,4439
2016/8/27,82752,82752,26.8,78.8,4626,4466
2016/8/28,82521.6,82483.2,24.7,72.1,4463,4433
2016/8/29,80140.8,80102.4,25.8,59,4526,3981
2016/8/30,80524.8,80486.4,26.5,57.2,4767,3757
2016/8/31,79756.8,79449.6,26.9,59.2,4309,5011
2016/9/1,80947.2,80793.6,27.7,66.5,4408,3205
2016/9/2,81024,80908.8,26.8,77,4123,3793
2016/9/3,82406.4,82214.4,25.5,84.6,4154,3762
2016/9/4,81868.8,81715.2,27.8,70.3,4092,4343
2016/9/5,82214.4,81907.2,26.9,75.8,4123,4810
2016/9/6,81369.6,81100.8,25.2,85,4154,4108
2016/9/7,80832,80755.2,27,68.5,3968,3994
2016/9/8,81715.2,81600,26.5,76.1,3906,4368
2016/9/9,81331.2,81254.4,24.7,85.5,4061,4174
2016/9/10,81907.2,81600,25.9,79.7,4084,4228
2016/9/11,81984,81984,27.2,75.8,4061,3333
2016/9/12,81446.4,81254.4,25,84.3,4019,4009
2016/9/13,81177.6,81139.2,26.3,74.6,3844,4127
2016/9/14,80908.8,80793.6,26.2,72.4,3859,4111
2016/9/15,80640,80486.4,25.7,78.5,4123,3778
2016/9/16,80601.6,80563.2,26.9,72.5,4210,3391
2016/9/17,81100.8,81062.4,23.8,89,4221,4435
2016/9/18,80678.4,80524.8,24.6,72.3,4216,4619
2016/9/19,80409.6,80294.4,24.6,68.9,4309,3846
2016/9/20,80716.8,80640,24,71.8,4247,4236
2016/9/21,80563.2,80409.6,25.2,67.7,4247,4451
2016/9/22,81100.8,80870.4,25.3,71.6,4247,3890
2016/9/23,80332.8,80256,25.1,71.7,3993,4006
2016/9/24,80409.6,80409.6,25.7,69.2,4296,4320
2016/9/25,81024,81024,25.9,73.7,4061,3985
2016/9/26,81792,81753.6,25.7,82.8,3952,4550
2016/9/27,85209.6,81523.2,25.1,85.4,3720,4094
2016/9/28,81177.6,80908.8,25.9,80.5,4068,4456
2016/9/29,81830.4,81715.2,25.8,80.6,4057,4367
2016/9/30,80947.2,80947.2,25.7,77.2,4014,4672
2016/10/1,80908.8,80832,26.8,74.7,3813,3502
2016/10/2,80563.2,80294.4,26.8,67.2,3844,4409
2016/10/3,80294.4,80294.4,25.8,72.5,3540,4448
2016/10/4,80332.8,80332.8,25.8,69.8,4060,4192
2016/10/5,81024,81024,26.3,74.9,4215,3847
2016/10/6,80563.2,80371.2,27,66.2,4216,4221
2016/10/7,80294.4,80140.8,24.4,82.1,4619,3510
2016/10/8,81024,80947.2,24.1,83.5,4247,4396
2016/10/9,80371.2,80217.6,20.7,89.9,4216,4369
2016/10/10,78950.4,78950.4,21.2,93.5,4237,4292
2016/10/11,79449.6,79334.4,22,93.8,4340,3559
2016/10/12,78873.6,78566.4,21.3,92.6,4449,4195
2016/10/13,78912,78873.6,22.6,85,3875,3593
2016/10/14,78988.8,78912,23.2,86.7,3585,3897
2016/10/15,80409.6,80025.6,25.4,78.4,4097,4217
2016/10/16,80486.4,80409.6,27.1,66.5,4154,4274
2016/10/17,80832,80524.8,26.7,71.4,4127,3705
2016/10/18,80716.8,80524.8,26.8,69.2,4026,3745
2016/10/19,80179.2,80102.4,27.1,69.6,4216,3755
2016/10/20,80294.4,80140.8,28.1,26.6,4185,4547
2016/10/21,82176,81907.2,27.4,72,4185,4193
2016/10/22,81331.2,81292.8,26.5,78.8,4154,3886
2016/10/23,81408,81292.8,25.9,75.5,4278,4139
2016/10/24,81792,81446.4,25.2,74,4309,3907
2016/10/25,80832,80832,26.6,74.3,3751,3552
2016/10/26,81331.2,81139.2,26.2,75.5,4055,4304
2016/10/27,81062.4,80870.4,25.4,79.4,4292,4249
2016/10/28,81868.8,81868.8,25.9,75.2,4200,4195
2016/10/29,80409.6,80371.2,22.8,74.3,4180,4396
2016/10/30,79564.8,79449.6,21.6,71.5,4080,4387
2016/10/31,79987.2,79795.2,22.2,73.6,3782,4543
2016/11/1,78604.8,78451.2,20.7,71.4,4079,2595
2016/11/2,77836.8,77644.8,19.7,67.9,3001,3212
2016/11/3,76684.8,76684.8,20.1,71.7,4123,3106
2016/11/4,77452.8,77376,20.7,77.9,4247,2977
2016/11/5,78681.6,78489.6,22.4,70,3658,3516
2016/11/6,78835.2,78681.6,23.6,66.3,4433,4727
2016/11/7,79603.2,79488,23.5,74.8,3982,4079
2016/11/8,79411.2,79142.4,19.8,81.5,4154,2998
2016/11/9,77760,77606.4,18.4,76.6,3937,3298
2016/11/10,78489.6,78220.8,17.2,88.7,3674,2598
2016/11/11,77491.2,77491.2,19.7,70.8,2811,3066
2016/11/12,78988.8,78950.4,21.9,77.9,4123,4988
2016/11/13,80716.8,80678.4,23.8,74.7,4325,4624
2016/11/14,81945.6,81792,23.6,78.9,4402,4549
2016/11/15,80371.2,80256,22.5,75.1,4433,3881
2016/11/16,79641.6,79564.8,22.5,74,4123,4628
2016/11/17,79257.6,79142.4,23.7,70.2,3875,4578
2016/11/18,80870.4,80716.8,22.7,68.2,4309,3701
2016/11/19,80908.8,80640,24.3,68.9,3844,4515
2016/11/20,79910.4,79795.2,22.5,75.4,5022,4906
2016/11/21,79641.6,79564.8,20.5,86,4185,4212
2016/11/22,79756.8,79564.8,20.8,85.8,4278,5460
2016/11/23,81024,78720,17.8,86.8,4309,4175
2016/11/24,77990.4,77913.6,17.9,79.2,4495,4564
2016/11/25,79334.4,79296,20.8,76.9,3906,4466
2016/11/26,80524.8,80448,19.9,82.8,4123,3984
2016/11/27,79449.6,78374.4,17,82.6,4247,3906
2016/11/28,77606.4,77529.6,18.2,63.3,4074,3741
2016/11/29,78297.6,78259.2,20,71.1,4216,4708
2016/11/30,79641.6,79488,20.1,82.8,4247,5752
2016/12/1,78912,78643.2,17.8,82.2,4391,2944
2016/12/2,77260.8,77222.4,19,77.2,4247,2760
2016/12/3,78681.6,78528,20.6,82.1,4355,3988
2016/12/4,79372.8,79257.6,20.4,87.3,3898,3246
2016/12/5,78950.4,78796.8,19.5,76.5,4061,4018
2016/12/6,77529.6,77452.8,18,67.5,4154,3360
2016/12/7,77875.2,77836.8,18.1,73.4,2582,3002
2016/12/8,78297.6,78220.8,18.7,82.5,3883,3180
2016/12/9,78259.2,78144,19.6,71.5,3720,4300
2016/12/10,77568,77376,19.6,75.8,4247,3527
2016/12/11,78105.6,77798.4,18.9,75.9,3609,4371
2016/12/12,78412.8,78336,19.8,76.5,4193,4006
2016/12/13,78489.6,78489.6,19.3,73.4,4495,4157
2016/12/14,78374.4,78259.2,16.3,73.2,4402,3837
2016/12/15,77376,77107.2,13.2,70.5,4185,4552
2016/12/16,76761.6,76608,14.5,57.6,4090,4358
2016/12/17,78067.2,77952,17.6,60.4,4030,4467
2016/12/18,78028.8,77952,19.4,61.1,4115,4510
2016/12/19,79680,79680,20.7,67.2,4247,4725
2016/12/20,80563.2,80256,22.6,72.4,4247,4515
2016/12/21,80409.6,80102.4,22.4,76,4278,4105
2016/12/22,79872,79756.8,18.4,78,4402,4724
2016/12/23,77414.4,77299.2,17.2,60.6,4252,4320
2016/12/24,78374.4,78182.4,19,62.4,4338,4503
2016/12/25,78835.2,78643.2,20.7,68.6,4495,4635
2016/12/26,78835.2,78796.8,20.2,77.6,4309,4562
2016/12/27,79104,78796.8,13.8,76,4255,4504
2016/12/28,76915.2,76800,13.5,82,4526,4633
2016/12/29,75609.6,75609.6,14.5,69,4495,3988
2016/12/30,77260.8,77260.8,17.2,71.6,4030,4744
2016/12/31,77913.6,77836.8,19.8,70.8,4030,4787
2017/1/1,78720,78604.8,20.4,72.8,4402,3526
2017/1/2,79142.4,79027.2,19.6,79.3,4433,3917
2017/1/3,78873.6,78720,19.5,81.8,4774,3597
2017/1/4,78067.2,77990.4,20.6,76,4300,3800
2017/1/5,77606.4,77414.4,19.9,78,4123,4002
2017/1/6,77913.6,77913.6,19.4,86.5,4045,4407
2017/1/7,77644.8,77606.4,20.1,76.1,4099,4326
2017/1/8,78604.8,78604.8,18.3,77.1,4044,4131
2017/1/9,77337.6,77145.6,16.3,68.2,3999,3652
2017/1/10,76185.6,75993.6,17.5,68,1049,2391
2017/1/11,74304,74265.6,18.7,75.6,2096,1234
2017/1/12,78758.4,78374.4,17.4,86,4122,3584
2017/1/13,76646.4,76569.6,13.5,87.8,3875,2805
2017/1/14,75187.2,74841.6,13,80.9,4070,3853
2017/1/15,75033.6,75033.6,13,81.7,3968,3498
2017/1/16,75187.2,75148.8,14.5,75.4,3932,3719
2017/1/17,76454.4,75840,18,75.4,4143,3689
2017/1/18,75686.4,75609.6,17,88.3,4061,3965
2017/1/19,76684.8,76492.8,15.7,89.9,3953,4134
2017/1/20,76416,76300.8,12.1,70.1,3859,4355
2017/1/21,76147.2,76108.8,12.4,75.2,4172,4289
2017/1/22,77107.2,76608,13.9,58.3,3826,4276
2017/1/23,75993.6,75840,13.6,66.2,4030,4253
2017/1/24,75955.2,75648,13.8,76.7,3782,3443
2017/1/25,75340.8,75148.8,14.4,76.1,3963,5005
2017/1/26,75648,75648,15.5,66,4075,3841
2017/1/27,75801.6,75571.2,16.9,74.2,4154,3827
2017/1/28,76915.2,76531.2,17.7,79.9,4185,4851
2017/1/29,77107.2,76838.4,20.3,66.5,4588,4589
2017/1/30,77299.2,77222.4,16,76.1,4154,4257
2017/1/31,76032,75955.2,16.7,73.1,3720,4468
2017/2/1,75878.4,75840,15.8,74.4,4290,3413
2017/2/2,76147.2,76032,15.1,71.3,4340,4187
2017/2/3,76070.4,75993.6,18.1,74,4030,3449
2017/2/4,76070.4,75916.8,17.4,80.9,4325,3725
2017/2/5,75878.4,75878.4,17.3,77.3,3875,3974
2017/2/6,75494.4,75456,16.7,60.6,3611,3771
2017/2/7,76377.6,76224,16.6,66.9,3618,3557
2017/2/8,75993.6,75993.6,14.1,84.6,3893,3980
2017/2/9,75494.4,75456,10,66.5,3824,3719
2017/2/10,75648,75148.8,11.5,55.7,4030,3825
2017/2/11,75340.8,75264,11.7,58.9,3999,4372
2017/2/12,76224,75993.6,14.1,63.1,4433,4518
2017/2/13,75878.4,75724.8,15.7,61.6,3906,3204
2017/2/14,75840,75763.2,16,55.9,3894,3609
2017/2/15,75686.4,75532.8,17.1,64.3,2883,3612
2017/2/16,75724.8,75609.6,18.7,51.9,4549,4208
2017/2/17,76569.6,76454.4,19.6,65.6,3968,3650
2017/2/18,76262.4,76224,17.5,73.6,3999,4508
2017/2/19,76377.6,76377.6,20.1,62.5,4526,4130
2017/2/20,77529.6,77107.2,19,72.9,3775,3933
2017/2/21,77299.2,76992,19.3,74.3,4619,4939
2017/2/22,77721.6,77606.4,18.4,84,4459,4329
2017/2/23,77721.6,77529.6,13.1,83.5,4588,4451
2017/2/24,76416,76300.8,11.5,91,4588,4606
2017/2/25,76492.8,76339.2,12.2,93,4588,4212
2017/2/26,76032,76032,11.6,83.7,4619,4657
2017/2/27,76608,76416,13.7,73.1,4991,4685
2017/2/28,76646.4,76224,13.2,83.6,4433,5258
2017/3/1,76262.4,76262.4,14.6,75.3,3968,3273
2017/3/2,76684.8,76492.8,14.1,59.3,4247,3299
2017/3/3,76416,76377.6,16.4,64.6,3813,3305
2017/3/4,76608,76531.2,17.8,70.4,3906,3886
2017/3/5,77376,77260.8,19.3,75.9,3534,3294
2017/3/6,77452.8,77184,13.4,80,3627,3310
2017/3/7,76262.4,76108.8,12.3,77.5,4247,3725
2017/3/8,76608,76300.8,13.6,74.2,3720,3363
2017/3/9,76147.2,75993.6,15,81.3,4023,4556
2017/3/10,76262.4,76262.4,15.7,90,4403,3846
2017/3/11,77222.4,76915.2,18.1,86.6,4380,4339
2017/3/12,76992,76992,18.9,86.8,3689,3983
2017/3/13,78297.6,78028.8,15.3,90.3,4340,4958
2017/3/14,75417.6,75379.2,12.8,74.3,3932,4274
2017/3/15,76608,76569.6,14.4,72.8,4340,4154
2017/3/16,76646.4,76492.8,14.1,93,3713,3927
2017/3/17,76761.6,76608,16.1,90.9,4123,3194
2017/3/18,76953.6,76684.8,17.3,92.4,3751,4854
2017/3/19,77222.4,77145.6,17.2,91.5,4619,4490
2017/3/20,78220.8,78144,19.6,86.9,4240,4514
2017/3/21,78758.4,78336,17,78,4622,4606
2017/3/22,77875.2,77836.8,18.5,80.3,4572,4553
2017/3/23,77184,76915.2,17.4,77.1,4511,4619
