DateTime,Top1,Top2,Temperature,Humidity,L6B_Array_Input,L6B_CELL_Input
2017/12/18,75648.0,75648.0,13.0,87.4,4030,4034
2017/12/19,75187.2,75187.2,13.2,83.0,4340,3974
2017/12/20,75532.8,75417.6,14.4,61.5,3813,4462
2017/12/21,75878.4,75187.2,14.8,62.3,3910,3511
2017/12/22,75187.2,75148.8,17.9,61.2,4587,4546
2017/12/23,75763.2,75648.0,18.5,70.0,4286,4540
2017/12/24,75456.0,75264.0,17.8,64.7,4495,4541
2017/12/25,75148.8,74956.8,15.7,60.9,4123,4108
2017/12/26,74726.4,74649.6,17.1,66.9,4867,4772
2017/12/27,75110.4,75033.6,17.9,65.0,5277,4555
2017/12/28,76032.0,75763.2,18.7,71.9,4061,4270
2017/12/29,75801.6,75686.4,17.2,84.4,4345,4994
2017/12/30,75955.2,75955.2,17.1,78.9,4827,4740
2017/12/31,75686.4,75571.2,13.6,78.0,4807,5485
2017/12/25,75148.8,74956.8,15.7,60.9,4123,4108
2017/12/26,74726.4,74649.6,17.1,66.9,4867,4772
2017/12/27,75110.4,75033.6,17.9,65.0,5277,4555
2017/12/28,76032.0,75763.2,18.7,71.9,4061,4270
2017/12/29,75801.6,75686.4,17.2,84.4,4345,4994
2017/12/30,75955.2,75955.2,17.1,78.9,4827,4740
2017/12/31,75686.4,75571.2,13.6,78.0,4807,5485
2018/1/1,75763.2,75724.8,16.6,72.3,3791,3170
2018/1/2,75724.8,75417.6,18.9,64.5,3904,3570
2018/1/3,76377.6,76185.6,19.6,68.4,3881,3579
2018/1/4,75916.8,75763.2,16.7,88.3,3991,3510
2018/1/5,75456.0,75264.0,15.0,85.5,3991,3746
2018/1/6,74880.0,74841.6,16.3,87.9,4402,4111
2018/1/7,75340.8,75264.0,16.5,87.3,4433,4452
2018/1/1,75763.2,75724.8,16.6,72.3,3791,3170
2018/1/2,75724.8,75417.6,18.9,64.5,3904,3570
2018/1/3,76377.6,76185.6,19.6,68.4,3881,3579
2018/1/4,75916.8,75763.2,16.7,88.3,3991,3510
2018/1/5,75456.0,75264.0,15.0,85.5,3991,3746
2018/1/6,74880.0,74841.6,16.3,87.9,4402,4111
2018/1/7,75340.8,75264.0,16.5,87.3,4433,4452
2018/1/8,75494.4,75456.0,13.9,88.4,4402,4151
2018/1/9,75110.4,75110.4,10.0,74.4,4464,4395
2018/1/10,75148.8,75072.0,10.9,55.7,4278,4022
2018/1/11,74534.4,74496.0,11.2,53.5,3476,3477
2018/1/12,74649.6,74457.6,10.6,52.5,3834,4038
2018/1/13,75072.0,75033.6,12.3,62.4,3827,3978
2018/1/14,74803.2,74764.8,15.1,66.2,3743,4162
2018/1/8,75494.4,75456.0,13.9,88.4,4402,4151
2018/1/9,75110.4,75110.4,10.0,74.4,4464,4395
2018/1/10,75148.8,75072.0,10.9,55.7,4278,4022
2018/1/11,74534.4,74496.0,11.2,53.5,3476,3477
2018/1/12,74649.6,74457.6,10.6,52.5,3834,4038
2018/1/13,75072.0,75033.6,12.3,62.4,3827,3978
2018/1/14,74803.2,74764.8,15.1,66.2,3743,4162
2018/1/15,74688.0,74649.6,17.1,75.1,4309,4073
2018/1/16,74764.8,74726.4,18.5,68.2,3627,4011
2018/1/17,76070.4,75916.8,19.1,75.7,3901,4570
2018/1/18,76147.2,75801.6,18.8,83.5,4703,4484
2018/1/19,76646.4,76492.8,16.8,87.9,4619,3978
2018/1/20,76761.6,76569.6,17.4,84.4,4929,4801
2018/1/21,76723.2,76339.2,17.7,85.1,4557,4566
2018/6/17,80947.2,80793.6,25.0,82.0,3999,4524
2018/6/18,80448.0,80409.6,25.6,79.6,3796,4495
2018/6/19,79411.2,79334.4,26.0,72.2,3627,4654
2018/6/20,79334.4,79065.6,26.5,69.9,4779,4531
2018/6/21,79795.2,79756.8,26.6,75.9,4639,4356
2018/6/22,80409.6,80217.6,26.5,74.5,4684,4512
2018/6/23,80524.8,80524.8,25.7,79.3,4712,4761
2018/6/24,79065.6,78912.0,26.6,77.5,4619,4548
2018/6/25,80294.4,80256.0,27.1,76.2,4588,4336
2018/6/26,81062.4,80793.6,27.3,70.0,4604,4614
2018/6/27,79411.2,79372.8,27.4,63.6,4309,4340
2018/6/28,79872.0,79718.4,27.4,70.4,4464,4165
2018/6/29,78796.8,78758.4,26.9,74.2,4472,4749
2018/6/30,79526.4,79449.6,26.3,73.7,4495,4813
2018/6/24,79065.6,78912.0,26.6,77.5,4619,4548
2018/6/25,80294.4,80256.0,27.1,76.2,4588,4336
2018/6/26,81062.4,80793.6,27.3,70.0,4604,4614
2018/6/27,79411.2,79372.8,27.4,63.6,4309,4340
2018/6/28,79872.0,79718.4,27.4,70.4,4464,4165
2018/6/29,78796.8,78758.4,26.9,74.2,4472,4749
2018/6/30,79526.4,79449.6,26.3,73.7,4495,4813
2018/7/1,79603.2,79296.0,27.1,74.7,3627,4073
2018/7/2,79603.2,79180.8,27.5,67.4,3720,4262
2018/7/3,79142.4,78912.0,27.8,67.3,3907,3520
